Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,SecondsAfterSunRise,SecondsAfterSunSet
1.24,49,30.46,71,122.97,5.62,61642,18442
1.2,49,30.46,72,112.45,6.75,61939,18739
1.21,48,30.46,64,120.2,5.62,62244,19044
1.17,48,30.46,62,104.95,5.62,62544,19344
1.21,48,30.46,60,137.71,3.37,62841,19641
1.23,48,30.46,57,158.75,3.37,63146,19946
1.21,48,30.46,58,176.78,3.37,63443,20243
1.21,48,30.46,59,177.39,5.62,63746,20546
1.27,48,30.46,79,137.68,11.25,-22361,-65441
1.29,49,30.46,77,154.23,7.87,-21160,-64240
1.27,49,30.45,84,151.91,9.0,-20562,-63642
1.24,48,30.45,88,180.23,10.12,-20258,-63338
1.25,48,30.45,92,151.13,10.12,-19956,-63036
1.26,48,30.45,94,151.16,7.87,-19662,-62742
1.24,49,30.45,95,152.75,13.5,-19359,-62439
1.26,49,30.45,97,146.87,10.12,-19060,-62140
1.24,49,30.45,97,146.72,11.25,-18755,-61835
1.29,50,30.45,98,178.42,9.0,-18460,-61540
1.26,50,30.45,98,109.41,5.62,-18159,-61239
1.27,50,30.45,98,184.21,4.5,-17855,-60935
1.3,50,30.44,99,157.74,5.62,-17559,-60639
1.26,50,30.44,99,145.18,10.12,-17257,-60337
1.29,51,30.44,99,127.53,7.87,-16950,-60030
1.28,51,30.44,99,148.18,6.75,-16656,-59736
1.26,51,30.44,100,129.03,9.0,-16357,-59437
1.28,51,30.44,100,141.06,11.25,-16054,-59134
1.28,51,30.44,100,148.13,7.87,-15754,-58834
1.26,51,30.44,100,126.55,7.87,-15457,-58537
1.3,51,30.44,100,148.95,3.37,-15157,-58237
1.23,50,30.43,100,102.17,12.37,-14853,-57933
1.26,50,30.44,100,135.34,9.0,-14556,-57636
1.28,50,30.43,100,131.57,6.75,-14261,-57341
1.25,50,30.43,100,129.94,3.37,-13949,-57029
1.28,50,30.43,100,182.2,5.62,-13661,-56741
1.28,50,30.43,100,136.03,9.0,-13351,-56431
1.32,50,30.43,100,141.13,4.5,-13056,-56136
1.28,50,30.43,100,145.65,6.75,-12758,-55838
1.27,50,30.43,100,142.79,4.5,-12454,-55534
1.29,50,30.43,100,125.55,9.0,-12161,-55241
1.28,50,30.43,100,117.12,7.87,-11861,-54941
1.31,50,30.43,100,142.99,2.25,-11556,-54636
1.26,50,30.43,100,132.66,9.0,-11261,-54341
1.29,50,30.43,100,134.16,13.5,-10957,-54037
1.27,51,30.43,100,141.29,4.5,-10661,-53741
1.26,51,30.43,100,132.21,2.25,-10359,-53439
1.29,50,30.43,100,85.42,0.0,-10058,-53138
1.26,50,30.43,100,125.83,4.5,-9761,-52841
1.27,50,30.43,100,131.05,7.87,-9455,-52535
1.26,50,30.43,100,69.18,2.25,-9160,-52240
1.24,50,30.43,100,198.94,4.5,-8853,-51933
1.29,50,30.43,100,158.26,4.5,-8560,-51640
1.27,50,30.43,100,133.19,9.0,-8261,-51341
1.26,50,30.43,100,125.96,12.37,-7955,-51035
1.26,50,30.43,100,135.42,5.62,-7657,-50737
1.25,50,30.43,100,126.36,5.62,-7359,-50439
1.27,50,30.43,100,123.15,10.12,-7060,-50140
1.27,50,30.43,100,117.66,12.37,-6757,-49837
1.28,50,30.43,100,24.57,5.62,-6458,-49538
1.27,50,30.43,100,58.98,3.37,-6158,-49238
1.27,51,30.43,100,147.5,7.87,-5861,-48941
1.26,51,30.43,100,126.01,4.5,-5558,-48638
1.29,50,30.44,100,158.43,2.25,-5260,-48340
1.27,50,30.43,101,157.27,6.75,-4960,-48040
1.26,50,30.44,101,102.89,4.5,-4659,-47739
1.28,50,30.44,101,123.76,7.87,-4355,-47435
1.3,50,30.44,101,125.93,7.87,-4057,-47137
1.29,50,30.44,101,123.59,10.12,-3759,-46839
1.29,50,30.44,101,135.93,4.5,-3460,-46540
1.28,50,30.44,101,111.93,7.87,-3157,-46237
1.26,50,30.44,101,143.08,6.75,-2857,-45937
1.28,50,30.44,101,137.4,6.75,-2559,-45639
1.27,50,30.44,101,138.95,9.0,-2256,-45336
1.28,50,30.44,101,100.6,9.0,-1959,-45039
1.26,50,30.44,101,141.49,5.62,-1657,-44737
1.27,50,30.44,101,127.36,5.62,-1353,-44433
1.29,50,30.44,101,133.37,11.25,-1056,-44136
1.44,49,30.44,101,152.1,7.87,-755,-43835
1.67,49,30.44,101,100.05,5.62,-459,-43539
2.4,49,30.44,101,141.08,5.62,-160,-43240
3.69,49,30.44,101,110.25,7.87,144,-42936
5.13,49,30.44,100,123.2,9.0,446,-42634
6.63,49,30.45,100,138.79,6.75,746,-42334
8.38,49,30.45,99,129.81,6.75,1042,-42038
11.19,50,30.45,98,120.55,7.87,1345,-41735
20.99,50,30.45,99,128.54,6.75,1650,-41430
17.13,50,30.45,99,137.0,7.87,1940,-41140
15.95,50,30.45,100,155.76,7.87,2241,-40839
35.06,50,30.45,100,108.95,4.5,2538,-40542
68.25,51,30.45,100,87.42,5.62,2840,-40240
77.74,51,30.46,100,123.84,4.5,3142,-39938
107.43,51,30.46,101,141.73,4.5,3440,-39640
88.38,51,30.46,101,137.81,3.37,3752,-39328
59.44,51,30.46,101,93.37,6.75,4041,-39039
130.18,51,30.46,101,140.09,9.0,4340,-38740
158.17,51,30.46,101,124.49,4.5,4643,-38437
204.54,52,30.46,101,143.45,6.75,4941,-38139
77.31,52,30.46,101,83.11,3.37,5247,-37833
165.65,52,30.46,101,63.86,2.25,5543,-37537
199.84,52,30.47,101,82.71,5.62,5841,-37239
313.63,52,30.47,101,79.01,4.5,6142,-36938
487.45,52,30.47,101,72.29,6.75,6440,-36640
366.92,53,30.47,101,32.56,3.37,6741,-36339
451.34,53,30.47,101,174.92,10.12,7040,-36040
478.06,54,30.47,101,125.48,2.25,7343,-35737
296.68,54,30.47,101,48.22,3.37,7640,-35440
232.62,54,30.47,100,39.51,9.0,7938,-35142
339.24,54,30.47,100,67.9,6.75,8243,-34837
387.86,54,30.47,100,107.99,4.5,8547,-34533
620.88,53,30.47,100,173.9,1.12,8839,-34241
554.46,54,30.47,100,68.07,3.37,9142,-33938
554.86,54,30.47,100,49.12,3.37,9441,-33639
759.64,54,30.47,100,34.13,6.75,9743,-33337
406.69,54,30.47,100,4.21,7.87,10040,-33040
546.25,54,30.47,99,48.49,6.75,10355,-32725
239.76,54,30.48,100,32.33,6.75,10641,-32439
914.52,54,30.48,100,48.21,10.12,10938,-32142
828.01,54,30.48,100,46.06,5.62,11241,-31839
844.65,54,30.48,100,43.19,5.62,11539,-31541
807.99,55,30.48,99,97.72,3.37,11840,-31240
324.13,56,30.48,97,185.56,2.25,12142,-30938
342.1,56,30.48,94,78.05,5.62,12439,-30641
321.55,55,30.47,97,93.17,6.75,12740,-30340
688.05,55,30.47,97,120.06,7.87,13042,-30038
565.38,55,30.48,97,130.15,6.75,13356,-29724
731.63,56,30.48,95,87.3,3.37,13640,-29440
370.53,56,30.48,95,60.37,4.5,13955,-29125
615.0,56,30.48,95,90.62,10.12,14239,-28841
479.31,55,30.48,96,185.83,3.37,14542,-28538
385.92,55,30.48,96,69.65,3.37,14839,-28241
331.42,54,30.48,97,47.74,12.37,15142,-27938
288.95,54,30.48,98,135.61,3.37,15440,-27640
305.67,54,30.48,99,55.18,3.37,15741,-27339
840.76,54,30.48,99,40.92,4.5,16041,-27039
570.12,55,30.48,100,35.7,3.37,16340,-26740
292.22,55,30.47,100,154.78,6.75,16639,-26441
707.63,55,30.47,100,171.13,4.5,16944,-26136
774.04,56,30.47,100,158.82,9.0,17241,-25839
719.65,57,30.47,99,129.27,7.87,17540,-25540
1040.39,58,30.47,90,74.24,5.62,17840,-25240
1040.93,59,30.46,88,18.01,7.87,18142,-24938
991.04,58,30.46,94,89.9,9.0,18440,-24640
1166.39,58,30.46,96,81.37,3.37,18742,-24338
1206.19,57,30.46,97,106.05,4.5,19040,-24040
757.47,57,30.46,97,73.55,7.87,19345,-23735
1054.1,58,30.46,97,57.96,5.62,19644,-23436
623.08,57,30.46,98,34.52,7.87,19943,-23137
1243.14,57,30.46,98,29.74,11.25,20241,-22839
913.44,57,30.46,98,86.29,7.87,20542,-22538
856.91,57,30.46,99,17.83,14.62,20844,-22236
544.82,56,30.45,98,7.8,9.0,21140,-21940
708.8,56,30.45,98,48.94,13.5,21438,-21642
1231.42,56,30.45,97,68.49,6.75,21740,-21340
822.75,57,30.45,97,127.04,4.5,22041,-21039
1204.21,57,30.45,97,61.85,9.0,22341,-20739
1105.0,57,30.45,96,74.71,5.62,22643,-20437
1085.72,58,30.45,95,81.51,11.25,22941,-20139
953.49,58,30.44,95,6.63,9.0,23239,-19841
979.36,58,30.44,94,57.11,7.87,23540,-19540
1154.39,58,30.44,94,55.98,9.0,23839,-19241
865.04,58,30.44,93,16.08,3.37,24141,-18939
633.84,58,30.44,93,58.0,6.75,24441,-18639
890.21,58,30.44,92,93.96,6.75,24744,-18336
620.06,59,30.44,94,7.05,7.87,25040,-18040
1272.97,58,30.44,95,25.51,11.25,25340,-17740
520.91,57,30.43,95,1.17,5.62,25641,-17439
352.81,57,30.43,95,9.83,4.5,25942,-17138
474.35,57,30.43,96,304.78,4.5,26243,-16837
404.37,57,30.43,98,355.12,1.12,26542,-16538
408.27,56,30.43,98,73.52,9.0,26840,-16240
796.37,55,30.43,99,56.95,7.87,27140,-15940
602.58,56,30.42,100,68.82,5.62,27444,-15636
466.45,56,30.43,100,58.05,5.62,27741,-15339
365.79,56,30.42,99,30.43,5.62,28042,-15038
464.12,56,30.42,100,333.73,3.37,28343,-14737
346.05,56,30.42,100,64.62,4.5,28641,-14439
272.32,55,30.42,100,74.28,6.75,28941,-14139
575.09,55,30.42,100,94.58,7.87,29242,-13838
487.41,56,30.42,100,0.11,5.62,29546,-13534
406.87,56,30.42,100,0.11,5.62,29841,-13239
630.06,55,30.42,100,352.2,9.0,30142,-12938
439.4,55,30.42,100,206.08,3.37,30442,-12638
559.85,55,30.42,100,359.93,6.75,30744,-12336
446.54,55,30.42,100,26.66,7.87,31039,-12041
522.48,55,30.42,100,95.84,9.0,31343,-11737
404.0,55,30.42,101,17.17,4.5,31643,-11437
359.02,55,30.42,101,109.38,6.75,31942,-11138
326.2,55,30.42,101,10.65,6.75,32243,-10837
250.26,55,30.42,101,343.84,7.87,32542,-10538
333.17,55,30.42,101,42.2,7.87,32840,-10240
305.5,55,30.42,101,50.06,4.5,33145,-9935
276.83,55,30.42,101,15.96,5.62,33444,-9636
411.41,55,30.42,101,29.88,7.87,33741,-9339
218.21,55,30.42,101,70.32,9.0,34047,-9033
195.33,54,30.42,101,350.99,6.75,34342,-8738
303.12,54,30.42,101,99.43,5.62,34644,-8436
282.29,54,30.42,101,133.66,2.25,34945,-8135
295.9,54,30.42,101,38.39,7.87,35240,-7840
155.63,54,30.42,101,76.55,5.62,35542,-7538
108.29,54,30.42,101,7.49,3.37,35839,-7241
174.48,54,30.42,101,68.02,5.62,36144,-6936
142.93,54,30.42,101,133.87,4.5,36439,-6641
190.03,53,30.42,101,2.31,3.37,36742,-6338
153.46,53,30.42,101,167.76,2.25,37040,-6040
198.5,53,30.43,101,174.08,4.5,37341,-5739
79.92,53,30.43,101,70.27,5.62,37644,-5436
67.39,53,30.43,101,146.86,7.87,37944,-5136
112.33,53,30.43,101,142.16,5.62,38240,-4840
114.32,53,30.43,101,66.07,6.75,38543,-4537
82.0,53,30.43,101,126.79,6.75,38843,-4237
56.91,53,30.43,101,25.99,3.37,39141,-3939
87.28,53,30.43,101,30.96,3.37,39439,-3641
77.67,53,30.43,101,0.12,3.37,39741,-3339
68.09,53,30.43,101,133.96,6.75,40043,-3037
63.53,53,30.43,101,57.82,3.37,40343,-2737
33.44,52,30.44,101,48.1,2.25,40643,-2437
19.16,52,30.44,101,71.9,5.62,40940,-2140
88.6,52,30.44,101,68.34,4.5,41244,-1836
37.06,52,30.44,102,73.0,7.87,41542,-1538
26.05,52,30.44,102,94.81,4.5,41841,-1239
16.23,52,30.44,102,338.31,2.25,42141,-939
8.17,52,30.44,102,54.3,5.62,42442,-638
4.61,52,30.44,102,56.09,6.75,42739,-341
2.22,51,30.44,102,104.91,7.87,43040,-40
1.98,52,30.44,102,196.38,4.5,43349,269
1.74,52,30.44,102,3.49,1.12,43645,565
1.29,52,30.44,102,185.66,1.12,43939,859
1.29,52,30.44,102,38.84,4.5,44240,1160
1.29,52,30.44,102,62.42,3.37,44543,1463
1.32,52,30.44,102,60.26,2.25,44843,1763
1.27,52,30.44,102,60.29,3.37,45146,2066
1.22,52,30.45,102,88.96,4.5,45443,2363
1.33,52,30.45,102,111.31,4.5,45741,2661
1.27,52,30.45,102,36.07,5.62,46047,2967
1.28,52,30.45,102,0.1,3.37,46340,3260
1.28,51,30.45,102,128.74,5.62,46644,3564
1.26,50,30.45,102,109.12,9.0,46959,3879
1.27,51,30.45,102,108.49,2.25,47243,4163
1.27,51,30.45,102,149.0,5.62,47541,4461
1.27,51,30.46,102,120.3,3.37,47843,4763
1.28,52,30.46,102,81.05,6.75,48141,5061
1.29,52,30.46,102,136.33,13.5,48445,5365
1.27,52,30.46,102,117.72,10.12,48739,5659
1.29,52,30.46,102,136.51,10.12,49041,5961
1.26,52,30.46,102,113.3,4.5,49341,6261
1.31,52,30.46,102,21.09,1.12,49639,6559
1.24,51,30.46,102,90.88,4.5,49940,6860
1.33,51,30.47,102,148.81,3.37,50242,7162
1.29,51,30.47,102,56.16,3.37,50541,7461
1.31,51,30.47,102,122.7,6.75,50845,7765
1.26,52,30.47,102,119.14,10.12,51141,8061
1.24,51,30.47,102,134.32,10.12,51445,8365
1.28,51,30.47,102,138.2,10.12,51743,8663
1.24,51,30.47,102,124.77,9.0,52046,8966
1.28,51,30.47,102,145.0,4.5,52343,9263
1.29,51,30.47,102,164.28,9.0,52640,9560
1.25,51,30.47,102,144.99,7.87,52945,9865
1.28,51,30.47,102,144.78,5.62,53240,10160
1.25,51,30.47,102,163.67,5.62,53541,10461
1.29,52,30.47,102,133.24,3.37,53842,10762
1.27,52,30.47,102,114.03,3.37,54140,11060
1.26,51,30.47,102,99.83,9.0,54438,11358
1.27,51,30.47,102,69.11,5.62,54742,11662
1.3,51,30.47,102,25.56,2.25,55041,11961
1.28,51,30.47,102,103.11,2.25,55340,12260
1.24,51,30.47,102,48.75,6.75,55642,12562
1.3,51,30.47,102,74.18,3.37,55942,12862
1.31,51,30.47,102,173.51,4.5,56242,13162
1.25,51,30.47,102,183.48,3.37,56545,13465
1.26,51,30.47,102,138.31,5.62,56838,13758
1.27,50,30.47,102,157.98,3.37,57145,14065
1.26,50,30.47,102,163.1,9.0,57442,14362
1.27,50,30.47,102,98.07,6.75,57742,14662
1.27,50,30.47,102,117.27,4.5,58038,14958
1.29,51,30.47,102,103.88,9.0,58340,15260
1.24,51,30.47,102,150.58,5.62,58646,15566
1.28,51,30.47,102,139.52,5.62,58944,15864
1.27,51,30.47,102,122.06,3.37,59243,16163
1.29,51,30.47,102,151.89,4.5,59542,16462
1.26,50,30.47,102,139.16,7.87,59841,16761
1.28,51,30.47,102,135.45,9.0,60140,17060
1.28,51,30.47,102,134.25,6.75,60441,17361
1.31,51,30.47,102,149.21,2.25,60743,17663
1.3,51,30.47,102,100.4,3.37,61044,17964
1.27,51,30.47,102,111.49,9.0,61346,18266
1.28,51,30.47,102,159.72,10.12,61644,18564
1.28,51,30.46,102,144.15,4.5,61942,18862
1.28,51,30.47,102,144.72,5.62,62241,19161
1.3,51,30.46,102,130.24,6.75,62539,19459
1.27,51,30.46,101,132.3,7.87,62845,19765
1.26,50,30.47,101,119.92,9.0,63143,20063
1.28,50,30.46,101,124.45,2.25,63441,20361
1.27,50,30.46,101,150.11,4.5,63744,20664
1.26,50,30.46,101,40.05,3.37,-22417,-65377
1.27,50,30.46,101,174.68,7.87,-20917,-63877
1.29,50,30.46,101,135.64,7.87,-20620,-63580
1.27,50,30.46,101,147.31,7.87,-20315,-63275
1.3,50,30.46,101,167.9,9.0,-20019,-62979
1.26,51,30.46,101,145.52,5.62,-19720,-62680
1.27,51,30.46,101,160.46,4.5,-19420,-62380
1.27,51,30.46,101,148.87,4.5,-19119,-62079
1.27,51,30.45,101,140.85,10.12,-18814,-61774
1.28,51,30.45,101,116.84,6.75,-18513,-61473
1.26,51,30.45,101,119.35,9.0,-18219,-61179
1.25,51,30.45,101,142.0,3.37,-17918,-60878
1.28,51,30.45,101,186.53,3.37,-17622,-60582
1.27,51,30.45,101,149.06,6.75,-17321,-60281
1.27,51,30.45,101,157.75,3.37,-17019,-59979
1.25,51,30.45,101,113.18,4.5,-16721,-59681
1.34,51,30.45,101,129.47,3.37,-16417,-59377
1.27,51,30.45,101,168.22,4.5,-16118,-59078
1.26,51,30.45,101,108.1,6.75,-15818,-58778
1.28,51,30.45,101,130.35,5.62,-15516,-58476
1.28,50,30.44,101,50.35,4.5,-15221,-58181
1.27,50,30.44,101,98.46,7.87,-14915,-57875
1.26,50,30.44,101,28.38,3.37,-14621,-57581
1.24,50,30.43,101,49.3,3.37,-14321,-57281
1.27,50,30.43,101,121.76,4.5,-14017,-56977
1.3,50,30.43,101,92.03,2.25,-13719,-56679
1.25,50,30.43,101,140.7,4.5,-13414,-56374
1.28,50,30.43,101,128.79,6.75,-13113,-56073
1.24,49,30.43,101,138.77,3.37,-12819,-55779
1.25,49,30.43,101,150.67,2.25,-12515,-55475
1.26,49,30.43,101,161.07,1.12,-12216,-55176
1.25,49,30.43,101,148.11,3.37,-11921,-54881
1.25,49,30.43,101,131.53,2.25,-11620,-54580
1.28,49,30.43,101,50.38,2.25,-11319,-54279
1.28,50,30.43,101,74.0,3.37,-11021,-53981
1.24,49,30.43,101,99.9,5.62,-10716,-53676
1.22,49,30.42,101,128.47,6.75,-10418,-53378
1.25,49,30.42,101,101.49,4.5,-10117,-53077
1.2,49,30.42,101,167.33,5.62,-9819,-52779
1.18,49,30.42,101,146.76,3.37,-9515,-52475
1.26,49,30.42,101,157.52,10.12,-9220,-52180
1.28,49,30.42,101,158.21,4.5,-8918,-51878
1.23,49,30.42,101,119.13,6.75,-8615,-51575
1.29,49,30.42,101,122.31,3.37,-8319,-51279
1.28,48,30.42,101,135.62,4.5,-8020,-50980
1.25,48,30.42,101,127.04,2.25,-7721,-50681
1.26,48,30.42,101,72.73,4.5,-7419,-50379
1.25,48,30.42,101,98.37,4.5,-7116,-50076
1.27,48,30.42,101,163.25,2.25,-6812,-49772
1.26,48,30.42,101,126.8,0.0,-6518,-49478
1.26,48,30.42,101,136.61,4.5,-6219,-49179
1.26,48,30.42,101,120.51,7.87,-5914,-48874
1.27,48,30.42,101,103.14,9.0,-5620,-48580
1.28,47,30.42,100,108.39,4.5,-5320,-48280
1.28,47,30.42,100,141.17,7.87,-5021,-47981
1.25,47,30.42,99,128.32,5.62,-4717,-47677
1.25,47,30.43,99,138.77,3.37,-4420,-47380
1.28,48,30.42,98,115.37,7.87,-4119,-47079
1.26,48,30.43,96,137.0,5.62,-3819,-46779
1.25,47,30.43,95,148.26,10.12,-3513,-46473
1.26,47,30.43,94,131.23,6.75,-3215,-46175
1.26,47,30.43,94,132.85,3.37,-2915,-45875
1.24,47,30.43,95,148.31,10.12,-2621,-45581
1.24,48,30.43,96,119.13,4.5,-2315,-45275
1.23,48,30.43,97,109.7,5.62,-2018,-44978
1.24,48,30.43,98,154.39,3.37,-1715,-44675
1.19,48,30.44,99,101.39,5.62,-1418,-44378
1.21,48,30.44,99,152.0,4.5,-1119,-44079
1.21,48,30.43,99,131.71,5.62,-818,-43778
1.93,48,30.43,99,141.67,6.75,-522,-43482
2.83,48,30.44,99,167.63,5.62,-219,-43179
4.74,48,30.44,98,151.54,7.87,80,-42880
7.65,48,30.44,97,171.66,11.25,381,-42579
12.44,48,30.44,97,163.23,9.0,682,-42278
22.88,49,30.44,97,173.21,5.62,988,-41972
29.0,49,30.44,96,164.12,3.37,1282,-41678
33.18,49,30.44,95,155.93,5.62,1581,-41379
55.0,50,30.44,97,131.58,4.5,1880,-41080
82.24,50,30.44,98,156.53,3.37,2178,-40782
71.18,50,30.45,98,153.07,3.37,2481,-40479
71.03,51,30.45,99,147.85,2.25,2778,-40182
68.45,51,30.45,99,167.06,3.37,3082,-39878
98.51,51,30.45,100,118.45,5.62,3381,-39579
136.81,51,30.45,100,158.85,4.5,3688,-39272
204.79,52,30.45,100,169.78,2.25,3978,-38982
248.32,52,30.45,100,129.85,7.87,4282,-38678
257.81,52,30.45,100,122.27,4.5,4584,-38376
274.04,53,30.45,100,73.35,3.37,4879,-38081
338.33,53,30.45,100,60.36,5.62,5181,-37779
352.05,54,30.45,99,113.89,3.37,5481,-37479
410.82,54,30.46,98,84.47,2.25,5783,-37177
444.23,54,30.46,97,71.1,3.37,6082,-36878
427.06,54,30.46,96,161.53,7.87,6382,-36578
376.57,55,30.46,96,63.86,10.12,6681,-36279
303.91,55,30.46,96,37.27,9.0,6982,-35978
198.58,54,30.46,97,62.09,5.62,7292,-35668
307.12,54,30.47,97,126.64,6.75,7584,-35376
453.59,54,30.47,98,164.29,5.62,7884,-35076
434.0,55,30.47,96,140.31,4.5,8185,-34775
455.35,56,30.47,91,156.6,5.62,8481,-34479
470.66,57,30.47,92,96.75,1.12,8783,-34177
546.99,57,30.47,91,22.05,9.0,9082,-33878
570.06,55,30.47,92,1.89,9.0,9384,-33576
501.0,55,30.47,95,348.6,10.12,9683,-33277
580.4,54,30.47,95,75.8,6.75,9981,-32979
610.58,55,30.47,97,100.86,4.5,10279,-32681
601.59,55,30.47,97,152.32,5.62,10583,-32377
688.08,56,30.47,96,97.7,5.62,10882,-32078
555.9,56,30.48,93,50.19,4.5,11181,-31779
470.54,56,30.48,94,49.24,6.75,11479,-31481
335.01,55,30.48,95,26.5,11.25,11783,-31177
678.82,54,30.48,97,56.46,6.75,12083,-30877
677.09,55,30.48,97,123.7,10.12,12380,-30580
531.88,55,30.48,96,134.79,7.87,12680,-30280
571.02,56,30.48,96,94.64,1.12,12978,-29982
485.57,57,30.48,95,59.33,4.5,13282,-29678
553.52,57,30.47,94,85.25,7.87,13579,-29381
399.3,57,30.48,94,27.24,4.5,13880,-29080
445.56,56,30.48,94,101.42,3.37,14180,-28780
700.04,56,30.47,96,53.55,3.37,14479,-28481
672.54,57,30.47,96,54.85,7.87,14780,-28180
557.25,57,30.47,97,192.57,4.5,15081,-27879
948.15,57,30.47,97,90.65,4.5,15391,-27569
951.92,57,30.47,96,98.46,10.12,15679,-27281
405.15,57,30.47,97,47.8,6.75,15982,-26978
356.62,57,30.47,97,118.4,4.5,16278,-26682
531.55,57,30.47,98,32.24,6.75,16580,-26380
987.64,56,30.47,98,7.94,4.5,16881,-26079
619.44,57,30.47,99,58.3,9.0,17182,-25778
942.25,57,30.47,99,40.61,1.12,17481,-25479
644.53,57,30.46,99,89.74,7.87,17780,-25180
709.96,57,30.46,99,36.92,3.37,18081,-24879
1012.21,57,30.46,98,70.52,11.25,18382,-24578
938.83,57,30.46,97,44.6,6.75,18680,-24280
448.82,57,30.46,95,81.39,10.12,18980,-23980
910.06,57,30.46,95,32.7,7.87,19282,-23678
929.76,58,30.46,94,344.99,7.87,19580,-23380
924.05,58,30.46,94,28.81,6.75,19879,-23081
728.36,58,30.46,94,78.96,5.62,20180,-22780
595.27,58,30.46,96,88.66,3.37,20480,-22480
846.49,57,30.45,96,66.56,6.75,20781,-22179
687.91,57,30.45,97,43.89,2.25,21079,-21881
413.03,57,30.45,97,22.41,6.75,21381,-21579
543.55,57,30.45,98,344.8,6.75,21681,-21279
551.88,57,30.45,98,98.59,3.37,21983,-20977
752.53,57,30.44,99,34.23,6.75,22282,-20678
502.59,57,30.44,99,68.21,9.0,22585,-20375
610.39,56,30.44,99,35.58,4.5,22885,-20075
988.13,56,30.44,98,51.82,7.87,23185,-19775
973.11,57,30.43,96,72.73,7.87,23478,-19482
945.24,58,30.43,93,336.49,5.62,23788,-19172
979.13,59,30.43,90,94.73,10.12,24082,-18878
1002.65,59,30.43,89,74.38,5.62,24382,-18578
1238.14,60,30.43,90,332.53,5.62,24679,-18281
423.57,59,30.43,95,302.55,2.25,24984,-17976
362.66,58,30.43,96,46.8,4.5,25283,-17677
1028.9,57,30.43,97,65.49,9.0,25579,-17381
479.0,57,30.43,98,336.47,5.62,25879,-17081
659.12,56,30.42,99,55.72,13.5,26181,-16779
1288.17,57,30.42,99,74.33,6.75,26481,-16479
636.96,57,30.42,98,358.09,5.62,26784,-16176
470.3,57,30.42,98,89.07,4.5,27082,-15878
507.76,57,30.42,98,85.9,3.37,27383,-15577
959.73,57,30.42,98,51.24,2.25,27681,-15279
892.36,58,30.42,96,13.77,5.62,27982,-14978
429.8,58,30.42,95,70.72,7.87,28285,-14675
675.62,58,30.41,95,82.01,3.37,28583,-14377
569.66,58,30.41,94,335.42,4.5,28883,-14077
463.44,58,30.41,96,60.17,7.87,29186,-13774
307.83,57,30.41,95,64.68,4.5,29481,-13479
340.57,56,30.41,97,33.42,13.5,29783,-13177
260.79,56,30.41,98,84.44,2.25,30083,-12877
260.51,56,30.41,99,22.48,3.37,30382,-12578
264.04,55,30.41,99,353.13,4.5,30679,-12281
472.44,56,30.41,100,63.09,7.87,30983,-11977
315.42,56,30.41,99,88.88,5.62,31279,-11681
406.79,55,30.41,99,344.76,1.12,31580,-11380
334.75,56,30.41,100,242.99,2.25,31879,-11081
530.64,56,30.41,100,127.36,5.62,32184,-10776
360.26,55,30.41,99,15.07,5.62,32480,-10480
482.41,56,30.41,100,44.7,6.75,32780,-10180
283.15,56,30.41,100,100.1,4.5,33082,-9878
242.56,56,30.41,100,31.44,6.75,33383,-9577
334.81,56,30.41,100,32.19,7.87,33682,-9278
302.17,56,30.41,100,65.77,9.0,33983,-8977
224.77,55,30.4,100,124.2,7.87,34278,-8682
215.66,55,30.4,100,5.23,7.87,34582,-8378
164.58,54,30.4,100,63.11,5.62,34881,-8079
147.63,54,30.41,100,101.33,6.75,35184,-7776
176.94,54,30.41,100,87.68,3.37,35487,-7473
211.07,54,30.4,101,75.9,6.75,35781,-7179
167.31,54,30.4,101,110.28,7.87,36081,-6879
216.9,54,30.41,101,27.83,7.87,36379,-6581
303.23,54,30.4,101,90.51,5.62,36681,-6279
231.09,55,30.4,101,93.79,9.0,36981,-5979
135.3,54,30.4,101,58.74,5.62,37279,-5681
158.87,54,30.41,101,93.01,3.37,37581,-5379
99.43,54,30.41,101,74.39,2.25,37880,-5080
97.4,54,30.41,101,6.47,5.62,38182,-4778
79.97,54,30.41,101,0.12,4.5,38483,-4477
103.72,54,30.4,101,71.56,4.5,38782,-4178
112.29,54,30.41,101,150.55,6.75,39086,-3874
84.24,54,30.41,101,60.2,3.37,39384,-3576
56.3,54,30.41,101,0.12,7.87,39679,-3281
56.47,54,30.41,101,95.33,3.37,39979,-2981
64.5,53,30.41,101,107.15,10.12,40279,-2681
49.2,53,30.41,101,15.5,5.62,40581,-2379
40.53,53,30.41,101,61.3,3.37,40878,-2082
28.09,53,30.41,101,24.42,0.0,41181,-1779
22.32,53,30.41,101,54.57,7.87,41480,-1480
14.45,53,30.41,101,81.6,7.87,41782,-1178
10.45,53,30.41,102,60.56,6.75,42081,-879
4.93,53,30.42,102,17.47,9.0,42385,-575
2.4,53,30.42,101,69.61,1.12,42685,-275
1.78,53,30.42,102,111.24,10.12,42980,20
1.23,52,30.42,102,101.09,4.5,43286,326
1.26,52,30.42,102,55.35,2.25,43581,621
1.26,52,30.42,102,78.37,6.75,43880,920
1.26,52,30.42,102,92.94,6.75,44182,1222
1.26,52,30.42,102,119.68,3.37,44480,1520
1.26,52,30.42,102,139.92,3.37,44787,1827
1.25,52,30.43,102,20.48,6.75,45081,2121
